id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1250022545,Мини-Отель Мопс на Рубинштейна,"улица Рубинштейна, д.12, Санкт-Петербург","Санкт-Петербург, Россия",59.931152,30.34567,3,9.2,498,19,2652,HOTEL,24,"['Сейф', 'Ресепшн 24 часа', 'Кондиционер', 'Фен', 'Телевизор', 'Wi-Fi в лобби', 'Wi-fi в комнатах', 'Спа', 'Парковка', 'Можно с животными']",quiet,69104,291,1.6,2.2985132,Санкт-Петербург - Центральный район,14062.0,331.0,877.0,2459.0
964250854,Мини Отель Mushroom,"Набережная Канала Грибоедова,42","Санкт-Петербург, Россия",59.9302,30.31901,3,9.3,0,17,2209,HOTEL,6,"['Прачечная', 'Кондиционер', 'Wi-Fi в лобби', 'Фен', 'Сейф', 'Парковка', 'Можно с животными', 'Телевизор']",,69103,232,0.0,2.0068567,Санкт-Петербург - Центральный район,13814.0,367.0,2340.0,1976.0
333570,Отель Вега Измайлово,Измайловское шоссе 71 строение 3В,"Москва, Россия",55.790752,37.747135,4,9.0,15712,46,9206,HOTEL,24,"['Прачечная', 'Спортзал', 'Ресторан/кафе', 'Можно с животными', 'Кондиционер', 'Wi-fi в комнатах', 'Помощь малоподвижным людям', 'Ресепшн 24 часа', 'Телевизор', 'Парковка', 'Wi-Fi в лобби', 'Фен', 'Сейф']","popular, comfort, business, metro, transport, city, view, building",69102,2268,0.0,2.2766292,Москва - Центральный округ,28394.0,291.0,1604.0,
21120269,Версаль Отель,ул.Восстания д.12,"Санкт-Петербург, Россия",59.93601,30.36007,3,9.2,415,27,2883,HOTEL,24,"['Телевизор', 'Прачечная', 'Кондиционер', 'Wi-Fi в лобби', 'Фен', 'Сейф', 'Ресепшн 24 часа', 'Парковка']",,69101,107,0.0,2.1939864,Санкт-Петербург - Центральный район,14733.0,500.0,746.0,2729.0
1910372927,Отель Реноме,Гончарная улица 26,"Санкт-Петербург, Россия",59.92809,30.36959,4,9.1,0,23,3835,HOTEL,24,"['Ресторан/кафе', 'Телевизор', 'Кондиционер', 'Wi-Fi в лобби', 'Wi-fi в комнатах', 'Сейф', 'Ресепшн 24 часа', 'Парковка', 'Прачечная', 'Фен']",,69099,566,0.0,2.1731336,Санкт-Петербург - Центральный район,13991.0,631.0,498.0,3661.0
1904051936,Отель Демут,"Полтавская улица, 3","Санкт-Петербург, Россия",59.92838,30.37075,3,8.9,0,18,3865,HOTEL,24,"['Wi-fi в комнатах', 'Фен', 'Парковка', 'Можно с животными', 'Телевизор', 'Прачечная', 'Кондиционер', 'Wi-Fi в лобби', 'Сейф', 'Ресторан/кафе', 'Ресепшн 24 часа']",,69098,554,0.0,2.2158296,Санкт-Петербург - Центральный район,14038.0,666.0,554.0,3693.0
1198039,Sunflower Авеню Отель Москва,"Ул. Щепкина 32, стр.1","Москва, Россия",55.7796,37.62982,3,8.9,3195,35,3164,HOTEL,24,"['Телевизор', 'Кондиционер', 'Wi-Fi в лобби', 'Фен', 'Сейф', 'Ресепшн 24 часа', 'Ресторан/кафе', 'Можно с животными']","metro, transport, city",69096,1399,0.89,2.2280583,Москва - Центральный округ,24658.0,331.0,1449.0,
1209386,Отель Богема,Гребенская Улица 11,"Геленджик, Россия",44.89727,37.31998,3,9.5,338,22,805,HOTEL,24,"['Прачечная', 'Кондиционер', 'Wi-Fi в лобби', 'Фен', 'Сейф', 'Ресепшн 24 часа', 'Ресторан/кафе', 'Телевизор']",modern,69095,121,0.0,2.2479444,Неизвестный район,400.0,,,437.0
29296624,Аглая Кортъярд Отель,Разъезжая улица 38,"Санкт-Петербург, Россия",59.92265,30.35179,3,8.8,2120,29,3625,HOTEL,24,"['Парковка', 'Wi-Fi в лобби', 'Wi-fi в комнатах', 'Сейф', 'Курящие номера', 'Ресепшн 24 часа', 'Ресторан/кафе', 'Телевизор', 'Прачечная', 'Кондиционер', 'Фен']","shopping, metro, transport, city, building",69094,581,0.27,2.2337337,Санкт-Петербург - Центральный район,13186.0,283.0,900.0,3422.0
333368,Отель Камердинер,Озерной переулок 6,"Санкт-Петербург, Россия",59.93809,30.3624,3,9.7,338,40,2880,HOTEL,24,"['Телевизор', 'Прачечная', 'Кондиционер', 'Фен', 'Сейф', 'Ресепшн 24 часа', 'Парковка', 'Можно с животными', 'Wi-Fi в лобби']","top, comfort, quiet, friendly, city, building",69093,39,0.0,2.2318974,Санкт-Петербург - Центральный район,14985.0,718.0,979.0,2740.0
