id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,check_in,check_out,popularity,popularity2,trending_speed,pois_distances,weights,district_name,checkinTime,checkoutTime,amenityFeature,address_Locality,street_Address,latitude_y,longitude_y,Otello_starRating,Otello_ratingValue,Otello_ratingCount,Otello_bestRating,Otello_worstRating
1250022545,мини-отель мопс на рубинштейна,"улица Рубинштейна, д.12, Санкт-Петербург","Санкт-Петербург, Россия",59.931152,30.34567,3,9.2,498,19,2652,HOTEL,24,"1, 3, 4, 6, 10, 11, 12, 14, 18, 20",quiet,,,69104,291,1.6,"airport: 14062, metro_station: 732, metro_station: 433, metro_station: 530, metro_station: 830, metro_station: 331, train_station: 2812, train_station: 877, train_station: 3732, beach: 2459",2.2985132,Санкт-Петербург - Центральный район,,,,,,,,,,,,
964250854,мини отель mushroom,"Набережная Канала Грибоедова,42","Санкт-Петербург, Россия",59.9302,30.31901,3,9.3,0,17,2209,HOTEL,6,"1, 3, 4, 5, 6, 10, 12, 14",,,,69103,232,0.0,"airport: 13814, metro_station: 422, metro_station: 405, metro_station: 367, metro_station: 733, metro_station: 664, train_station: 3523, train_station: 2340, train_station: 2803, beach: 1976",2.0068567,Санкт-Петербург - Центральный район,,,,,,,,,,,,
333570,отель вега измайлово,Измайловское шоссе 71 строение 3В,"Москва, Россия",55.790752,37.747135,4,9.0,15712,46,9206,HOTEL,24,"0, 1, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18","popular, comfort, business, metro, transport, city, view, building",,,69102,2268,0.0,"airport: 35331, airport: 42911, airport: 28394, metro_station: 2167, metro_station: 2095, metro_station: 1368, metro_station: 1925, metro_station: 291, train_station: 1604, airport: 34937",2.2766292,Москва - Центральный округ,,,,,,,,,,,,
21120269,версаль отель,ул.Восстания д.12,"Санкт-Петербург, Россия",59.93601,30.36007,3,9.2,415,27,2883,HOTEL,24,"1, 4, 5, 6, 10, 12, 14, 18",,,,69101,107,0.0,"airport: 14733, metro_station: 1158, metro_station: 577, metro_station: 936, metro_station: 500, metro_station: 1163, train_station: 2225, train_station: 746, train_station: 4683, beach: 2729",2.1939864,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1910372927,отель реноме,Гончарная улица 26,"Санкт-Петербург, Россия",59.92809,30.36959,4,9.1,0,23,3835,HOTEL,24,"0, 1, 4, 5, 6, 10, 11, 12, 14, 18",,,,69099,566,0.0,"airport: 13991, metro_station: 1003, metro_station: 884, metro_station: 934, metro_station: 631, metro_station: 1146, train_station: 3185, train_station: 498, train_station: 4574, beach: 3661",2.1731336,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1904051936,отель демут,"Полтавская улица, 3","Санкт-Петербург, Россия",59.92838,30.37075,3,8.9,0,18,3865,HOTEL,24,"0, 1, 3, 4, 5, 6, 10, 11, 12, 14, 18",,,,69098,554,0.0,"airport: 14038, metro_station: 959, metro_station: 931, metro_station: 898, metro_station: 666, metro_station: 1214, train_station: 3170, train_station: 554, train_station: 4646, beach: 3693",2.2158296,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1198039,sunflower авеню отель москва,"Ул. Щепкина 32, стр.1","Москва, Россия",55.7796,37.62982,3,8.9,3195,35,3164,HOTEL,24,"0, 3, 4, 6, 10, 12, 14, 18","metro, transport, city",,,69096,1399,0.89,"airport: 28861, airport: 43984, airport: 24658, metro_station: 1045, metro_station: 967, metro_station: 331, metro_station: 825, metro_station: 1387, train_station: 1665, train_station: 1814, train_station: 1449, train_station: 1684, train_station: 3037, airport: 39743",2.2280583,Москва - Центральный округ,,,,,,,,,,,,
1209386,отель богема,Гребенская Улица 11,"Геленджик, Россия",44.89727,37.31998,3,9.5,338,22,805,HOTEL,24,"0, 4, 5, 6, 10, 12, 14, 18",modern,,,69095,121,0.0,"airport: 400, 71669: 66182, beach: 521, beach: 920, beach: 1520, beach: 437, airport: 40560, beach: 437",2.2479444,Неизвестный район,,,,,,,,,,,,
29296624,аглая кортъярд отель,Разъезжая улица 38,"Санкт-Петербург, Россия",59.92265,30.35179,3,8.8,2120,29,3625,HOTEL,24,"0, 1, 4, 5, 6, 10, 11, 12, 14, 18, 21","shopping, metro, transport, city, building",,,69094,581,0.27,"airport: 13186, metro_station: 571, metro_station: 905, metro_station: 901, metro_station: 689, metro_station: 283, train_station: 3706, train_station: 900, train_station: 3413, beach: 3422",2.2337337,Санкт-Петербург - Центральный район,,,,,,,,,,,,
333368,отель камердинер,Озерной переулок 6,"Санкт-Петербург, Россия",59.93809,30.3624,3,9.7,338,40,2880,HOTEL,24,"1, 3, 4, 5, 6, 10, 12, 14, 18","top, comfort, quiet, friendly, city, building",,,69093,39,0.0,"airport: 14985, metro_station: 1422, metro_station: 843, metro_station: 718, metro_station: 738, metro_station: 1423, train_station: 2014, train_station: 979, train_station: 4936, beach: 2740",2.2318974,Санкт-Петербург - Центральный район,,,,,,,,,,,,
333559,холидей инн москва сокольники,Русаковская ул.24,"Москва, Россия",55.78769,37.68033,4,9.0,9624,53,5594,HOTEL,24,"0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 14, 17, 18, 20","popular, luxury, comfort, business, view",,,69092,1855,0.18,"airport: 31827, airport: 43714, airport: 25792, metro_station: 2101, metro_station: 1246, metro_station: 1680, metro_station: 172, metro_station: 1701, train_station: 1999, train_station: 1860, train_station: 2207, train_station: 2165, train_station: 3492, airport: 37801",2.2625914,Москва - Центральный округ,,,,,,,,,,,,
1704466136,хилтон гарден инн москва красносельская,"Улица Верхняя Красносельская, 11а-4","Москва, Россия",55.78481,37.66283,4,9.1,4499,55,4626,HOTEL,24,"0, 1, 3, 4, 5, 6, 9, 10, 11, 14, 17, 18","modern, city",,,69091,486,0.69,"airport: 30787, airport: 43771, airport: 25364, metro_station: 1210, metro_station: 587, metro_station: 1866, metro_station: 1162, metro_station: 1711, train_station: 1056, train_station: 972, train_station: 1205, train_station: 1259, train_station: 2945, airport: 38447",2.2162018,Москва - Центральный округ,,,,,,,,,,,,
