name,checkinTime,checkoutTime,amenityFeature,address_Locality,street_Address,latitude,longitude,Otello_starRating,Otello_ratingValue,Otello_ratingCount,Otello_bestRating,Otello_worstRating
Аквалина,14:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Можно с животными', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Английский']",Санкт-Петербург,"Подъездной переулок, 13",59.917199,30.333901,4,4.7,89,5,1
Taleon Imperial Hotel,14:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Бассейн', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Тапочки', 'SPA', 'Сауна', 'Крытый бассейн', 'Круглосуточная стойка регистрации', 'Гараж', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Английский']",Санкт-Петербург,"Невский проспект, 15",59.935931,30.318876,5,4.5,283,5,1
Сentral Residence by Provence,15:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Можно с животными', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Круглосуточная стойка регистрации', 'Сейф', 'Хранение багажа', 'Пандус']",Сочи,"Северная, 10",43.59483,39.726468,3,4.1,7,5,1
Valo Network 4*,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Фен', 'Тапочки', 'SPA', 'Сауна', 'Бассейн для взрослых', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал']",Санкт-Петербург,"улица Салова, 61 ст1",59.885945,30.368988,4,4.7,352,5,1
Mandarin Hotels Group,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Можно с животными', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Чайник', 'Мини-бар', 'Сейф', 'Звукоизоляция', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Широкий лифт', 'Английский']",Москва,"Ольховская улица, 23",55.774889,37.667899,4,4.2,858,5,1
Пекин,14:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Телевизор', 'Холодильник', 'Сейф', 'Звукоизоляция', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Конференц-зал', 'Английский', 'Китайский']",Москва,"Большая Садовая улица, 5",55.768739,37.593943,4,4.6,1060,5,1
Kol Gali Resort&SPA,14:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Гараж', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Английский']",Болгар,"Прибрежная улица, 1а",54.990156,49.089237,5,4.6,212,5,1
Artstudio M103,14:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Можно с животными', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Вызов персонала']",Санкт-Петербург,"Ташкентская, 6 к2",59.890652,30.313695,4,4.9,11,5,1
Mercure Hotel and Residences Saint Petersburg,15:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Бассейн', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Сауна', 'Бассейн для взрослых', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал']",Санкт-Петербург,"улица Салова, 61 ст1",59.885053,30.366805,5,4.7,152,5,1
Maidens Hotel Moscow,15:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Можно с животными', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Чайник', 'Мини-бар', 'Сейф', 'Звукоизоляция', 'Фен', 'Халат', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Вызов персонала']",Москва,"Зубовская площадь, 3 ст1",55.737953,37.585667,5,4.5,6,5,1
